English,Chinese
Inovices Older Than Days,比天更老的Inovices
Install,安装
Installed,安装
Interval,间隔
Interval Type,区间类型
Invoice Configuration ,发票配置
Invoice Date,发票日期
Invoice Due Days,发票到期日
Invoice Due Notification,发票到期通知
Invoice Notification,发票通知
Invoice Number,发票编号
Invoice Prefix,发票前缀
Invoice Start Form,发票开始表格
Invoices,发票
IP,IP
IP Settings,IP设置
Is Equal To,等于
Is Not Equal To,不等于
Is Purchased?,购买了吗？
Iso,异
Iso3,ISO3
IVR Count,IVR计数
Languages,语言
Last Execution Date,上次执行日期
Last Modified Date,上次修改日期
Last Name,姓
Last Paid Date,上次付款日期
Latest Orders,最新订单
LC Charge / Min,LC充电/分钟
LC Charge/Min,LC充电/分钟
Live,生活
Live Call Report,直播电话报告
Live Id,Live Id
Live Key,Live Key
Live Url,实时网址
Local Call Timeout,本地通话超时
Local Number,本地号码
Local Numbers,本地号码
Locale code,区域代码
Localization,本土化
Localization Type,本地化类型
Localizations,本地化
Log out,登出
Log Path,日志路径
Logo,商标
Low balance Alert?,低平衡警报？
Mail Log,邮件日志
Manually,手动
Markup,标记
Mass Create,大众创造
Mass Email,群发邮件
Max Free Length,最大自由长度
MCD,MCD
Minimum Fund Transfer,最低资金转移
Minutes,分钟
Minutes Announcement,会议纪要
Minutes Breakdown,分钟细分
Moderate,中等
Modified Date,修改日期
Module,模
Name,名称
New Accounts,新账户
Nexmo API Key,Nexmo API密钥
Nexmo Secret Key,Nexmo密钥
Next Execution Date,下一个执行日期
Nickname,昵称
No,没有
No Records Found,没有找到记录
Notes,笔记
Notifications,通知
Notify before due days,在截止日期前通知
Number,数
Number Type,数字类型
of,的
Opensips,Opensips
Opensips DB Engine,Opensips数据库引擎
Opensips DB Host,Opensips数据库主机
Opensips DB Name,Opensips数据库名称
Opensips DB Pass,Opensips DB Pass
Opensips DB User,Opensips数据库用户
Opensips Domain,Opensips域名
Opensource,开源
Order,订购
Order Amount,订单金额
Order Date,订购日期
Order ID,订单ID
Order Now,现在下单
Orders,命令
Org. Cost,组织。成本
Org. Destination,组织。目的地
Org. Pefix,组织。Pefix
Origination Rates,起始价格
Outbound Fax,出站传真
Outstanding Amount INR,未结金额INR
Page,页
Password,密码
Password Strength,密码强度
Payment Method,付款方法
Payment Methods,支付方式
Payment Status,支付状态
Paypal,贝宝
Per Minute Cost,每分钟成本
Phone,电话
Pin Input Timeout,引脚输入超时
Pin Length,针长
Pin retries,引脚重试
Pinless Authentication,无针认证
Place Order ,下订单
Playback Audio Notifications,播放音频通知
Port,港口
Portal personalization,门户个性化
Powered by ASTPP,由ASTPP提供支持
Prefix,字首
Prepend,前置
Preserve,保留
Price,价钱
Priority,优先
Product Category,产品分类
Product Details,产品详情
Product Name,产品名称
Products,制品
Profile Action,档案动作
Profit,利润
Provider,提供商
Provider CDRs Report ,提供者CDRs报告
Provider Outbound,提供商出境
Provider Outbound Report,提供商出站报告
Provider Summary Report ,提供商摘要报告
Province,省
Province/State,省/州
Proxy,代理
Purge,清除
Push Notifications,推送通知
Quantity,数量
Rate,率
Rate Announcement,费率公告
Rate Count,费率计数
Rate Group,费率组
Rate Groups,费率组
Rate Information,费率信息
Ratedeck,Ratedeck
Ratedeck Information,评价信息
Rates Count,价格计数
Realtime Billing,实时结算
Receiver Email,收件人电子邮件
Recording Files Older Than Days,录制超过天数的文件
Records,记录
Referer Page,Referer Page
Refill By,补充
Refill Coupon Length,补充优惠券长度
Refill Coupons,补充优惠券
Refill Report,补充报告
Refills,笔芯
Register,寄存器
Release if no balance,如果没有余额则释放
Report a Bug,报告错误
Reports,报告
Request URI,请求URI
Reseller,经销商
Reseller can resell,经销商可以转售
Reseller Summary,经销商摘要
Reseller Summary Report ,经销商摘要报告
Resellers,经销商
Resellers CDRs Report ,经销商CDRs报告
Resend Mail,重发邮件
Role,角色
Roles & Permission,角色和许可
Roles & Permissions,角色和权限
Routing Prefix,路由前缀
Routing Type,路由类型
Sandbox,砂箱
Sandbox Id,沙箱ID
Sandbox Key,沙箱密钥
Sandbox Name,沙箱名称
Sandbox Url,沙盒网址
Save,保存
Schedule Reports,安排报告
Search,搜索
Select File,选择文件
Select Year,选择年份
Services,服务
Set Maximum Add card limit,设置最大添加卡限制
Settings,设置
Setup Fee,设置费
Signup,注册
SIP Devices,SIP设备
SIP IP,SIP IP
SIP Port,SIP端口
SIP Profile,SIP简介
SIP Profiles,SIP配置文件
SMS,短信
SMS Body,短信身体
SMS Notifications,短信通知
SMS Status,短信状态
SMTP,SMTP
SMTP Host,SMTP主机
SMTP Pass,SMTP通行证
SMTP Port,SMTP端口
SMTP User,SMTP用户
Start prefix,开始前缀
Starting Digit,开始数字
Status,状态
Strip,跳闸
Strong,强大
Subject,学科
Subscription,订阅
Supportticket,Supportticket
Switch,开关
Tariff,关税
Tax,税
Tax Information,税务信息
Telephone,电话
Telephone as account number,电话作为帐号
Templates,模板
Term. Cost,术语。成本
Term. Destination,术语。目的地
Term. Prefix,术语。字首
Term. Trunk,术语。树干
Termination Rates,终止费率
Third Party,第三方
This Month,这个月
This Week,本星期
Timelimit Announcement,时限公告
Timestamp,时间戳
Timezone,时区
To,至
To Number,数字
To Timestamp,到时间戳
Today,今天
Top 10 Accounts,十大账户
Top 10 Destinations,十大目的地
Total Calls ,总电话
Total Charges,总费用
Total Minutes,总分钟数
Transaction ID,交易ID
Translations,翻译
Translations Language,翻译语言
Trunk,树干
Trunks,中继线
Type,类型
Unpaid,未付
Update,更新
Used,用过的
Used Date,使用日期
Username,用户名
Version,版
Version 4.0 Beta,版本4.0 Beta
View All,查看全部
Voicemail,语音信箱
Panel Access,面板访问
Profile,轮廓
Billing Settings,结算设置
Pin,销
Account Settings,帐号设定
Notification Email,通知电子邮件
Address,地址
NON-CLI Rate Group,非CLI率组
Billing Schedule,结算时间表
Billing Day,结算日
Tax Number,税号
Invoice Note,发票说明
Reference,参考
Cancel,取消
Device Information,设备信息
Voicemail Options,语音邮件选项
Mail To,邮件到
Attach File,附加文件
Local After Email,本地电子邮件后
Send all Message,发送所有消息
Close,关
IP map,IP地图
Identificador de llamadas,Identificador de llamadas
Add Caller ID,添加来电显示
Create Reseller,创建经销商
Role Name,角色名称
Outstanding Amount,优秀金额
To Date,至今
Before Balance,平衡之前
Commission Report,委员会报告
MonthlyFee,月租费
Grace Time (Sec.),宽限时间（秒）
Import DIDs,导入DID
File must be in the following format,文件必须采用以下格式
DID Import Process,DID导入流程
Get Sample file,获取示例文件
Check Header,检查标题
Select the file,选择文件
Account Count,帐户数量
Acc. Number Length,加。数字长度
Valid Days,有效天数
Create Access Number,创建访问号码
Information,信息
Import Access Numbers,导入访问号码
Access Numbers Import Process,访问号码导入过程
DIDs Bulk Assign,DID批量分配
Bulk DID Purchase,批量DID购买
Provience,Provience
Assign Number,分配号码
DID Destination,DID目的地
DID Forward,DID转发
Always,总是
If Busy,如果忙
If SIP Not Registered,如果SIP未注册
If No Answer,如果没有答案
New Rate Group Name,新的费率组名称
Duplicate Rate Group Information,重复的费率组信息
Import Origination Rates,进口原始价格
Force Trunk,强制干线
Please select atleast one record to dele,请选择至少一个记录删除
Import Ratedeck,进口评分
Optional Information,可选信息
From- Domain,来自域名
From User,来自用户
Extension,延期
Extension-In-Contact,拓在-联系
Ping,平
Contact Params,联系Params
Retry-Seconds,重试秒
Register-Proxy,注册代理
Channel,渠道
Failover GW Name,故障转移GW名称
Create Trunk,创建中继线
Import Termination Rates,进口终止费率
Call Timeout (Sec.),呼叫超时（秒）
Trunk List,中继列表
Reset,重启
Create SIP Profile,创建SIP配置文件
Create Freeswitch Server,创建Freeswitch服务器
Live Calls,直播电话
Term Cost,期限成本
Term Destination,学期目的地
Term Prefix,术语前缀
Localizaciones,Localizaciones
Create Localization,创建本地化
Origination,起源
Termination,终止
Inbound Callerid Translation,入站Callerid翻译
Destination Number Translation,目的地号码翻译
Outbound Callerid Translation,出境Callerid翻译
Create Call Barring,创建呼叫限制
Callbarring Settings,呼叫条设置
Product Summary Report,产品摘要报告
SIP User,SIP用户
Product,产品
Taxes,税
Update Currencies,更新货币
File Name,文件名
Database Information,数据库信息
Database Backup,数据库备份
Command,命令
Cron Settings,Cron设置
Create Cron Settings,创建Cron设置
Stripe,条纹
Live Secret key,直播密钥
Live Publishable key,Live Publishable键
Set Percentage Charges,设置百分比费用
Set Fix Charges,设置修复费用
Stripe Mode,条纹模式
Sandbox secret key,沙箱密钥
Sandbox publishable key,沙盒可发布的密钥
Version 4.0 Enterprise,版本4.0企业版
Powered by,供电
Import Customer Using Field Mapper,使用Field Mapper导入客户
You must either select a field from your,您必须从中选择一个字段
Records with duplicate account number an,记录有重复的帐号a
Account Import Error,帐户导入错误
Back to Customer List,返回客户列表
Duplicate accounts with account number /,帐号为重复的帐户/
Records imported successfully,记录导入成功
Records not imported,记录未导入
Error In CSV File,CSV文件中的错误
Invoice Summary,发票摘要
Customer Details,顾客信息
Invoice Details,发票明细
Account Number,帐号
Invoice Amount,发票金额
Invoice Item,发票项目
Sub Total,小计
Total Due,总到期
Note,注意
Add Setting,添加设置
Edit SIP Profile,编辑SIP配置文件
New,新
Used?,用过的？
View Email,查看邮箱
Active,活性
Inactive,待用
Black List,黑名单
White List,白名单
Freeswitch Server Information,Freeswitch服务器信息
Currencies,货币
Edit Currency,编辑货币
Is Distributor,是经销商
Package created successfully!,包装成功创建！
DID Removed Successfully.,DID已成功删除。
DID not found.,找不到DID。
Password changed Sucessfully....!!!,密码改变成功.... !!!
New Password & Conformpassword not match,新密码和Conformpassword不匹配
Invalid old passwword.,无效的旧密码。
Permission Denied!,没有权限！
Refill Coupon amount is added successful,补充优惠券金额成功添加
PLease upload maximum file,PLease上传最大文件
files added successfully!,文件添加成功！
File Uploading Fail Please Try Again,文件上传失败请再试一次
Please upload only image!,请只上传图片！
Invoice config updated successfully!,发票配置已成功更新！
Your Profile Updated Successfully!,您的个人资料已成功更新！
Something wrong.Please contact to admini,有问题。请联系管理员
DID Released Successfully!,DID成功发布！
IP already exist in system.,IP已经存在于系统中。
IP Added Sucessfully.,IP成功添加。
IP Removed Sucessfully.,IP已成功删除。
SIP Device Updated Successfully!,SIP设备已成功更新！
SIP Device Added Successfully!,SIP设备成功添加！
SIP Device Removed Sucessfully!,SIP设备成功删除！
Caller ID Added Sucessfully!,来电显示已成功添加！
Please Enter Caller ID value.,请输入来电显示值。
Caller ID already Exists.,来电显示已存在。
Caller ID removed sucessfully!,来电显示已成功删除！
Alert Threshold Updated Successfully!,警报阈值已成功更新！
Can not trnasfer fund to postpaid custom,无法将资金转移到后付费定制
Access Denied! unable transfer fund to t,拒绝访问！无法将资金转移到t
You can not transfer fund in same accoun,你不能在相同的账户中转账
You can only transfer fund in same level,您只能在同一级别转移资金
Please enter To account number.,请输入帐号。
Please enter valid amount.,请输入有效金额。
You have insufficient balance.,你的余额不足。
Please enter valid account number.,请输入有效的帐号。
Please enter amount greater then 0.,请输入大于0的金额。
You need to enter minimum for fund trans,您需要输入资金转移的最低金额
Please enter valid account number!,请输入有效的帐号！
Insuffiecient amount !,数量不足！
Transfer successfully!,转移成功！
Account number not found.,找不到帐号。
OpenSips updated successfully!,OpenSips成功更新！
Duplicate Username Found.Username Must b,重复的用户名Found.Username必须b
User name is required field.,用户名是必填字段。
Opensips Device Removed Successfully!.,Opensips设备已成功删除！
Speed-dial Number Added Successfully!,快速拨号号码成功添加！
Can not delete blank speeddial number,无法删除空白的speeddial号码
Speed-dial Number Removed Successfully!,快速拨号号码已成功删除！
Pin Updated Successfully!,Pin已成功更新！
DID Updated Successfully!,DID已成功更新！
for fund transfer.,用于资金转移。
You need to enter minimum,你需要输入最小值
please enter recharge value,请输入充值
New Password,新密码
Old Password,旧密码
Conform Password,符合密码
Letters only please,信件只是请
IP Mapping,IP映射
The Coupon Number field must contain onl,优惠券号码字段必须包含onl
The Coupon Number field have inactive re,优惠券号码字段具有非活动状态
This Coupon Number is already in use.,此优惠券号码已在使用中。
This Coupon Number is not found.,未找到此优惠券号码。
The Coupon Number field is required.,优惠券号码字段是必填项。
REFILL COUPON RECHARGE,重新填写COUPON RECHARGE
You just recharged,你只是充电
account with The new balance will be,帐户与新余额将是
My Profile,我的简历
My Account,我的帐户
Alert Threshold,警报阈值
The Caller ID field is required.,来电显示字段是必需的。
Change Password,更改密码
Bill Type,账单类型
Bill Days,比尔日
New Products,新产品
Active Products,有源产品
Outstanding,优秀
Today's Calls,今天的电话
Recent Calls,最近的电话
The Available DIDs field is required.,可用DID字段是必需的。
Please enter your password,请输入您的密码
Please enter your first name,请输入您的名字
Please enter your email,请输入您的电子邮件
Please enter valid email,请输入有效的电子邮件
This field is required.,这是必填栏。
Email Setting,电邮设定
SMTP Password,SMTP密码
Are you sure want to remove logo?,您确定要删除徽标吗？
The IP field must contain a unique value,IP字段必须包含唯一值
The IP field have not valid IP.,IP字段没有有效的IP。
The IP field is required.,IP字段是必需的。
The Name field is required.,名字的字段是必需的。
Please enter only alpha-numeric value,请仅输入字母数字值
Are you sure want to delete speed dial r,您确定要删除快速拨号r
Generated Date,生成日期
My Products,我的产品
Pinless CLI,无针CLI
Refill Coupon,补充优惠券
TopUp,储值
Pay with Paypal,用Paypal付款
Pay with Card,用卡支付
Assign,分配
Send Credit,发送信用
To Account,帐户
From Account,来自帐户
Transfer,传递
Telephone 1,电话1
Telephone 2,电话2
Address 2,地址2
Zip/Postal Code,邮编/邮政编码
User Profile,用户资料
Low Balance Alert Level,低平衡警报级别
Enable Email Alerts ?,启用电子邮件提醒？
Low Balance Alert Email,低平衡警报电子邮件
User name,用户名
Something went to wrong !,出了点问题！
Product Purchased successfully !,产品购买成功！
Insufficent Balance to purchase product ,Insufficent Balance购买产品
Product assigned successfully!,产品分配成功！
Something went wrong !,有些不对劲 ！
Product Not Found,找不到产品
Transaction has been failed,交易失败了
not inserted. Transaction has been faile,没有插入。交易一直很糟糕
Select Customer.,选择客户。
Product Information,产品信息
Price+SetUp Fee,价格+设置费
Use Voucher,使用优惠券
Amount Without Tax,无税金额
Total Tax,总税
Amount With Tax,税金额
Parent Products,母产品
Edit Product,编辑产品
Product updated successfully!,产品更新成功！
Product added successfully!,产品添加成功！
Product removed successfully!,产品已成功删除！
Product optin successfully!,产品optin成功！
Edit Info,编辑信息
Product assign successfully,产品分配成功
Insufficient balance to assign product!,分配产品的余额不足！
Terminated Updated Successfully!,终止更新成功！
Terminated,终止
Setup Cost,设置成本
Order New,订购新
Caller ID updated successfully!,来电显示已成功更新！
Caller ID added successfully!,来电显示成功添加！
Caller ID removed successfully!,来电显示已成功删除！
Name is not contain any space,名称不包含任何空格
Name already exist in system.,名称已存在于系统中。
Callbarring Settings Updated Successfull,呼叫条设置已更新成功
allbarring Settings Added Successfully!,allbarring设置已成功添加！
Call Barring Removed Successfully!,呼叫禁止成功删除！
Calltype already exist in system.,Calltype已存在于系统中。
Calltype Updated Successfully!,Calltype已成功更新！
Calltype Added Successfully!,Calltype已成功添加！
calltype removed successfully!,calltype已成功删除！
File must be in the following format(.cs,文件必须采用以下格式（.cs
Import Package Codes:,导入包裹代码：
Records Imported Successfully:,记录导入成功：
Records Not Imported :,未导入的记录：
Download Errors,下载错误
Back to Package Patterns List,返回包模式列表
Add To List,添加到列表
Routing Prefix already exist in system.,路由前缀已存在于系统中。
Rate Group Updated Successfully!,费率组已成功更新！
Rate Group Added Successfully!,费率组成功添加！
Duplicate Rate Group Added Successfully!,重复率组成功添加！
Routing Prefix (Enterprise),路由前缀（企业）
Priority (Enterprise),优先级（企业）
Percentage (WIP) (Enterprise),百分比（WIP）（企业）
LCR,LCR
Percentage,百分比
Tax removed successfully!,税已成功取消！
Tax added successfully!,增税成功！
Tax updated successfully!,税务更新成功！
Charges List,收费清单
Trunk Updated Successfully!,Trunk成功更新！
Trunk Added Successfully!,Trunk已成功添加！
Trunk removed successfully!,Trunk已成功删除！
setting updated successfully!,设置更新成功！
Template Updated Successfully!,模板已成功更新！
Template Added Successfully!,模板成功添加！
Country Updated successfully!,国家更新成功！
Country Added successfully!,国家已成功添加！
Country removed successfully!,国家已成功删除！
Currency Updated Successfully!,货币成功更新！
My Rates,我的价格
Cost / Min,成本/分钟
Purchase,采购
Available DIDs,可用的DID
New IP,新IP
Digits,数字
Email Address,电子邮件地址
Call Forward,呼叫前转
If Busy:,如果忙碌：
If SIP Not Registered:,如果SIP未注册：
If No Answer:,如果没有答案：
Pay Now,现在付款
Pay with Account,用账户支付
"Please wait, your order is being processed and you will be redirected to the paypal website.",请稍等，您的订单正在处理中，您将被重定向到paypal网站。
Coupon Number:,优惠券号码：
Add Voucher,添加优惠券
Selected Plan,选定的计划
My Product,我的产品
Parent Product,母产品
Edit Email Template,编辑邮件模板
Details,细节
KEY,键
VALUE,值
Records with duplicate account number and email will be ignored.,具有重复帐号和电子邮件的记录将被忽略。
Account Details,帐户详细资料
Mass Customer,大众客户
Daily,日常
Monthly,每月一次
Prepaid,预付
Postpaid,后付费
Force Caller ID,强制来电显示
Customer Profile,客户资料
Caller Id Name,来电显示名称
Caller Id Number,来电显示号码
Blocked Codes,被阻止的代码
Page will display only receipts and confirmed invoices.,页面将仅显示收据和已确认的发票。
Accessnumber Updated Successfully!,Accessnumber已成功更新！
Accessnumber Removed Successfully!,Accessnumber已成功删除！
Invalid file format : Only CSV file allows to import records(Can't import empty file),文件格式无效：只有CSV文件允许导入记录（无法导入空文件）
Please Select File.,请选择文件。
 are required,是必要的
 is Required,是必须的
 is not Valid,不是有效的
Duplicate accessnumber found from database,从数据库中找到重复的访问号码
Duplicate accessnumber found from import file.,从导入文件中找到重复的访问号码。
Total,总
AccessNumber Imported Successfully!,AccessNumber导入成功！
Records Not Imported:,未导入的记录：
Back to AccessNumber List,返回AccessNumber列表
Speed Dial Number Updated Successfully,快速拨号号码已成功更新
Please insert only numeric value!,请只插入数值！
Speed Dial Number Removed Successfully,快速拨号号码已成功删除
Speed Dial Number is Empty,快速拨号号码为空
Sip Device removed successfully!,Sip Device已成功删除！
Sip updated successfully!,啜饮更新成功！
Block Code Removed Sucessfully!,阻止代码删除成功！
Your Account Limit has been reached.Please Change Your Prefix.,已达到您的帐户限制。请更改您的前缀。
Please Enter Proper Account Length.,请输入正确的帐户长度。
Bulk customer generate successfully!,批量客户成功生成！
Recharge successfully!,充电成功！
Post charge applied successfully.,邮寄费用已成功申请。
Account callerID updated successfully!,帐户callerID已成功更新！
Account callerID added successfully!,帐户callerID已成功添加！
Reseller updated successfully!,经销商更新成功！
Reseller added successfully!,经销商成功添加！
Updated successfully!,更新成功！
Added Successfully!,成功添加！
Customer batch updated successfully!,客户批量更新成功！
Reseller batch updated successfully!,经销商批量更新成功！
Customer Removed Successfully!,客户成功删除！
Reseller Removed Successfully!,经销商成功删除！
Provider Removed Successfully!,提供商已成功删除！
Admin Removed Successfully!,管理员已成功删除！
Sub Admin Removed Successfully!,子管理员已成功删除！
DID Added Successfully.,DID已成功添加。
DID Already Removed Before.,DID之前已被删除。
Account Tax Added Successfully!,帐户税增加成功！
Account Tax Removed Successfully!,帐户税已成功删除！
Product Removed Sucessfully.,产品已成功移除。
Email Resend Successfully!,电子邮件重新发送成功！
Email List Updated Successfully!,电子邮件列表已成功更新！
Email List Added Successfully!,电子邮件列表已成功添加！
Email Removed Successfully!,电子邮件已成功删除！
Please Try Again!,请再试一次！
Email BroadCast Successfully!,成功通过电子邮件发送BroadCast！
No Record Found!,没有找到记录！
Email Address Not Found!,找不到电子邮件地址！
Edit Freeswitch SIP Devices,编辑Freeswitch SIP设备
Create Freeswitch SIP Devices,创建Freeswitch SIP设备
Gateway Updated Successfully!,网关已成功更新！
Gateways already exist in system.,网关已经存在于系统中。
Gateway name must not have any space.,网关名称不得包含任何空格。
Gateway Added Successfully!,网关成功添加！
Gateway Removed Successfully!,网关成功删除！
Please enter All profile value!,请输入所有个人资料值！
SIP Profile name must not have any space!,SIP配置文件名称不能有任何空间！
Duplicate SIP IP OR Port found it must be unique!,重复的SIP IP或端口发现它必须是唯一的！
SIP Profile Added Successfully!,SIP配置文件成功添加！
Name must be unique!,名字必须是唯一的！
SIP Profile Updated Successfully!,SIP配置文件已成功更新！
SIP Setting Added Successfully!,SIP设置成功添加！
SIP Setting Updated Successfully!,SIP设置已成功更新！
SIP Setting Removed Successfully!,SIP设置已成功删除！
SIP Profile Removed Successfully!,SIP配置文件已成功删除！
Host Already Exist in System.,主机已存在于系统中。
Freeswitch Server Updated Successfully!,Freeswitch Server成功更新！
Freeswitch Server Added Successfully!,Freeswitch服务器成功添加！
Freeswitch Server Removed Successfully!,Freeswitch服务器已成功删除！
Invoice updated successfully!,发票已成功更新！
Invoice payment done successfully!,发票付款成功完成！
Account Not Found.,找不到帐户。
Invoice payment amount should be higher then the invoice amount.,发票付款金额应高于发票金额。
The Favicon file size shoud not exceed 1MB!,Favicon文件大小不应超过1MB！
Please upload 250 * 60 size file,请上传250 * 60大小的文件
Logo only allows file types of JPG and JPEG.,徽标仅允许JPG和JPEG的文件类型。
"Favicon only allows file types of ICO, PNG, JPG and JPEG.",Favicon只允许ICO，PNG，JPG和JPEG等文件类型。
Please upload 16 * 16 size of favicon.,请上传16 * 16尺寸的图标。
Company profile updated sucessfully!,公司简介更新成功！
Company profile added sucessfully!,公司简介成功增加！
Permission Denied.,没有权限。
is Deleted Sucessfully!,已成功删除！
To date should not be greater than current date.,迄今为止不应大于当前日期。
Invoice generation completed.,发票生成已完成。
No data found,没有找到数据
Invoices removed successfully,发票已成功删除
The Prefix field must contain a unique value.,“前缀”字段必须包含唯一值。
The IP field must contain a unique value.,IP字段必须包含唯一值。
IP Map added successfully!,IP地图成功添加！
IP Map removed successfully!,IP地图已成功删除！
Localization Added Successfully!,本地化成功添加！
Localization Updated Successfully!,本地化已成功更新！
Localization Removed Successfully!,本地化已成功删除！
Globalization is already exist in this system,全球化已存在于该系统中
Dispatcher Updated Successfully!,调度程序已成功更新！
Dispatcher Added Successfully!,调度程序成功添加！
Dispatcher Removed Successfully!,Dispatcher成功删除！
Code is already in system,代码已经在系统中
Country is already in system,国家已经在系统中
